"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2023 00:00 - 01.01.2023 00:15","43046","41222"
"01.01.2023 00:15 - 01.01.2023 00:30","42577","41129"
"01.01.2023 00:30 - 01.01.2023 00:45","41937","41430"
"01.01.2023 00:45 - 01.01.2023 01:00","41302","40443"
"01.01.2023 01:00 - 01.01.2023 01:15","40841","40447"
"01.01.2023 01:15 - 01.01.2023 01:30","40271","40536"
"01.01.2023 01:30 - 01.01.2023 01:45","39746","39399"
"01.01.2023 01:45 - 01.01.2023 02:00","39249","39381"
"01.01.2023 02:00 - 01.01.2023 02:15","39059","38738"
"01.01.2023 02:15 - 01.01.2023 02:30","38943","39431"
"01.01.2023 02:30 - 01.01.2023 02:45","38451","38308"
"01.01.2023 02:45 - 01.01.2023 03:00","38072","38734"
"01.01.2023 03:00 - 01.01.2023 03:15","37631","38422"
"01.01.2023 03:15 - 01.01.2023 03:30","37651","38097"
"01.01.2023 03:30 - 01.01.2023 03:45","37558","38044"
"01.01.2023 03:45 - 01.01.2023 04:00","37514","37954"
"01.01.2023 04:00 - 01.01.2023 04:15","37771","38164"
"01.01.2023 04:15 - 01.01.2023 04:30","37835","37301"
"01.01.2023 04:30 - 01.01.2023 04:45","37723","36906"
"01.01.2023 04:45 - 01.01.2023 05:00","37494","36912"
"01.01.2023 05:00 - 01.01.2023 05:15","37343","36853"
"01.01.2023 05:15 - 01.01.2023 05:30","36846","37067"
"01.01.2023 05:30 - 01.01.2023 05:45","36401","37034"
"01.01.2023 05:45 - 01.01.2023 06:00","35928","36900"
"01.01.2023 06:00 - 01.01.2023 06:15","35192","36145"
"01.01.2023 06:15 - 01.01.2023 06:30","35257","36434"
"01.01.2023 06:30 - 01.01.2023 06:45","34718","36108"
"01.01.2023 06:45 - 01.01.2023 07:00","34738","35928"
"01.01.2023 07:00 - 01.01.2023 07:15","35045","36844"
"01.01.2023 07:15 - 01.01.2023 07:30","35161","37003"
"01.01.2023 07:30 - 01.01.2023 07:45","35574","37015"
"01.01.2023 07:45 - 01.01.2023 08:00","35625","36974"
"01.01.2023 08:00 - 01.01.2023 08:15","36449","37505"
"01.01.2023 08:15 - 01.01.2023 08:30","36620","37769"
"01.01.2023 08:30 - 01.01.2023 08:45","37049","38402"
"01.01.2023 08:45 - 01.01.2023 09:00","37614","39177"
"01.01.2023 09:00 - 01.01.2023 09:15","38771","39925"
"01.01.2023 09:15 - 01.01.2023 09:30","39382","40944"
"01.01.2023 09:30 - 01.01.2023 09:45","39831","41765"
"01.01.2023 09:45 - 01.01.2023 10:00","40257","42318"
"01.01.2023 10:00 - 01.01.2023 10:15","41141","43154"
"01.01.2023 10:15 - 01.01.2023 10:30","41355","44016"
"01.01.2023 10:30 - 01.01.2023 10:45","41897","44694"
"01.01.2023 10:45 - 01.01.2023 11:00","42136","45091"
"01.01.2023 11:00 - 01.01.2023 11:15","42936","45463"
"01.01.2023 11:15 - 01.01.2023 11:30","43660","46355"
"01.01.2023 11:30 - 01.01.2023 11:45","43894","47031"
"01.01.2023 11:45 - 01.01.2023 12:00","43851","47095"
"01.01.2023 12:00 - 01.01.2023 12:15","43910","47173"
"01.01.2023 12:15 - 01.01.2023 12:30","43907","47516"
"01.01.2023 12:30 - 01.01.2023 12:45","43757","47125"
"01.01.2023 12:45 - 01.01.2023 13:00","43390","46818"
"01.01.2023 13:00 - 01.01.2023 13:15","43215","47107"
"01.01.2023 13:15 - 01.01.2023 13:30","42970","46879"
"01.01.2023 13:30 - 01.01.2023 13:45","43097","46338"
"01.01.2023 13:45 - 01.01.2023 14:00","43073","45654"
"01.01.2023 14:00 - 01.01.2023 14:15","42781","44950"
"01.01.2023 14:15 - 01.01.2023 14:30","42682","44530"
"01.01.2023 14:30 - 01.01.2023 14:45","42757","44386"
"01.01.2023 14:45 - 01.01.2023 15:00","42900","44055"
"01.01.2023 15:00 - 01.01.2023 15:15","43419","44223"
"01.01.2023 15:15 - 01.01.2023 15:30","43324","44224"
"01.01.2023 15:30 - 01.01.2023 15:45","43720","44375"
"01.01.2023 15:45 - 01.01.2023 16:00","44017","44353"
"01.01.2023 16:00 - 01.01.2023 16:15","44426","44870"
"01.01.2023 16:15 - 01.01.2023 16:30","44846","45416"
"01.01.2023 16:30 - 01.01.2023 16:45","45706","46409"
"01.01.2023 16:45 - 01.01.2023 17:00","46861","47238"
"01.01.2023 17:00 - 01.01.2023 17:15","48106","47992"
"01.01.2023 17:15 - 01.01.2023 17:30","48632","48241"
"01.01.2023 17:30 - 01.01.2023 17:45","48516","48737"
"01.01.2023 17:45 - 01.01.2023 18:00","48825","49145"
"01.01.2023 18:00 - 01.01.2023 18:15","49146","49327"
"01.01.2023 18:15 - 01.01.2023 18:30","49473","49444"
"01.01.2023 18:30 - 01.01.2023 18:45","49482","49295"
"01.01.2023 18:45 - 01.01.2023 19:00","49345","49033"
"01.01.2023 19:00 - 01.01.2023 19:15","49318","49071"
"01.01.2023 19:15 - 01.01.2023 19:30","48850","48355"
"01.01.2023 19:30 - 01.01.2023 19:45","48459","47994"
"01.01.2023 19:45 - 01.01.2023 20:00","47886","47455"
"01.01.2023 20:00 - 01.01.2023 20:15","46902","47181"
